      1.442655e-03,       7.446206e-03,       2.106519e-02
      1.391403e-03,       6.995336e-03,       2.016819e-02
      1.354410e-03,       1.196571e-02,       1.977308e-02
      1.518074e-03,       1.306828e-02,       2.128622e-02
      1.352517e-03,       1.192390e-02,       2.008385e-02
      1.349024e-03,       1.193006e-02,       1.969387e-02
      1.381880e-03,       1.286544e-02,       2.102724e-02
      1.363094e-03,       1.196873e-02,       2.025411e-02
      1.392305e-03,       1.191629e-02,       1.999571e-02
      1.568752e-03,       1.232901e-02,       2.187938e-02
      1.400726e-03,       1.235202e-02,       2.078220e-02
      1.526514e-03,       1.215794e-02,       2.121541e-02
